,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Elga,-0.43166963472792613,0.6932701373842731,0.5770943103731397,Elga,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Indothemis,-0.094269965038896,0.7362831474861878,-0.6700748468786137,Indothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Austrothemis,0.3766411316366353,-0.04587627347234487,0.9252225815941618,Austrothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Cyanothemis,-0.10512026137819193,-0.5438168377833998,-0.8325941253642402,Cyanothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Pornothemis,-0.5666298904881049,0.7936900371552151,-0.22132937474721107,Pornothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Pseudoleon,0.9090557597477198,0.026220976002700937,0.4158486336240172,Pseudoleon,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Aethriamanta,0.260927796929971,0.2804563719003823,0.923721228645172,Aethriamanta,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Garrisonia,0.44296624737709295,0.6468471027994355,-0.6207815471521627,Garrisonia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Scapanea,0.4725652447693309,-0.8553496463124889,0.2122712227062407,Scapanea,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Celebophlebia,0.9376457524422052,0.2743814189311088,-0.21338997134926982,Celebophlebia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Amphithemis,0.8965943198782812,-0.3129215546220999,-0.3133667599074457,Amphithemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Fylgia,0.6467437856015577,-0.3581631118320411,0.6733807697792945,Fylgia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Atratothemis,0.7560058089102184,-0.39263827944675767,-0.5237274084932887,Atratothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Brachygonia,0.5174159913704173,0.8208104037141825,-0.24197308327317962,Brachygonia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Orionothemis,0.604582622900851,0.3564449780817666,0.7123389850953102,Orionothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Thermochoria,-0.7379271993179086,0.043151007296115304,0.6734993979775767,Thermochoria,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
