taxId	scientific name	common name
47543	Phrynoidis aspera	Malayan giant toad
47543	Phrynoidis aspera	giant Asian toad
47543	Phrynoidis aspera	barking toad
2578363	Upeneus asymmetricus	asymmetrical goatfish
34924	Pica pica	Eurasian magpie
34924	Pica pica	Common magpie
34924	Pica pica	Elster
1154592	Aphanopus arigato	Pacific black scabbardfish
37623	Ostrea edulis	European flat oyster
37623	Ostrea edulis	Colchester native oyster
37623	Ostrea edulis	mud oyster
37623	Ostrea edulis	edible oyster
48193	Mugil cephalus	Formosan gray mullet
48193	Mugil cephalus	flathead mullet
48193	Mugil cephalus	Formosan grey mullet
187143	Turtur afer	blue-spotted wood-dove
1003779	Plagiogeneion rubiginosum	rubyfish
6426	Riftia pachyptila	tube worm
6426	Riftia pachyptila	giant tube worm
238708	Iso rhothophilus	flower of the wave
170207	Simias concolor	Pig-tailed langur
170207	Simias concolor	Simakobou
1003728	Epinephelus posteli	striped-fin grouper
1264904	Atelopus limosus	Limosa harlequin frog
633558	Hucho bleekeri	Sichuan taimen
350010	Pristimantis lutitus	Rio Luisito robber frog
879808	Cremnochorites capensis	Cape triplefin
1266878	Lycodes lavalaei	Newfoundland eelpout
1266878	Lycodes lavalaei	Laval eelpout
1266878	Lycodes lavalaei	Laval's eelpout
867857	Myotis gomantongensis	Gomantong Myotis
218798	Scomberomorus commerson	narrow-barred Spanish mackerel
414895	Ploceus philippinus	Baya weaver
146818	Serranus tabacarius	tobaccofish
94395	Conger oceanicus	American conger
903567	Epomophorus labiatus	Little epauletted fruit bat
298881	Gerbillus nanus	Baluchistan gerbil
2025561	Lonchura grandis	Grand munia
146732	Amnirana lepus	Andersson's Cameroon frog
318357	Scinax uruguayus	Schmidt's Uruguay treefrog
240154	Apeltes quadracus	fourspine stickleback
497160	Taractes rubescens	pomfret
571825	Glyphis glyphis	Bizant River shark
571825	Glyphis glyphis	freshwater speartooth shark
571825	Glyphis glyphis	speartooth shark
759967	Madatyphlops arenarius	sand worm snake
425483	Pangio oblonga	Java loach
1658253	Cophixalus crepitans	rusty rainforest frog
1658253	Cophixalus crepitans	northern nursery-frog
1658253	Cophixalus crepitans	rattling frog
110941	Hipposideros commersoni	Commerson's roundleaf bat
320404	Sternoptyx pseudobscura	highlight hatchetfish
229144	Embiotoca lateralis	striped seaperch
427924	Dreissena rostriformis bugensis	guagga mussel
427924	Dreissena rostriformis bugensis	quagga mussel
236586	Haemulon aurolineatum	tomtate
136493	Crepidula plana	eastern white slippersnail
257819	Otus semitorques	Japanese scops-owl
84817	Euphagus cyanocephalus	Brewer's blackbird
1463677	Polydactylus microstomus	small-mouthed threadfin
1604525	Gymnothorax intesi	whitetip moray eel
1146957	Canthigaster natalensis	Natal toby
170825	Squatina californica	Pacific angelshark
8655	Naja nivea	cape cobra
242962	Melanocetus johnsonii	humpback anglerfish
1342840	Leptopelis ragazzii	Shoa forest treefrog
1342840	Leptopelis ragazzii	Ragazzi's tree frog
882817	Idiacanthus fasciola	ribbon sawtail fish
882817	Idiacanthus fasciola	deepsea stalkeye fish
882817	Idiacanthus fasciola	serpent black dragonfish
1311485	Pontinus rathbuni	highfin scorpionfish
1250793	Melanotaenia irianjaya	Irian Jaya rainbowfish
10181	Heterocephalus glaber	naked mole-rat
10181	Heterocephalus glaber	naked mole rat
515824	Callistoctopus minor	long arm octopus
515824	Callistoctopus minor	Korean common octopus
1400528	Olallamys albicauda	white-tailed Olalla rat
548164	Notolabrus fucicola	purple wrasse
548164	Notolabrus fucicola	banded parrotfish
548164	Notolabrus fucicola	yellow-saddled wrasse
144197	Stegastes partitus	bicolor damselfish
164748	Apristurus manis	ghost catshark
508469	Anodonthyla nigrigularis	black-throated climbing frog
164889	Myadestes occidentalis	Brown-backed solitaire
350003	Pristimantis croceoinguinis	Santa Cecilia robber frog
176187	Takifugu porphyreus	purple puffer
176187	Takifugu porphyreus	mafugu
176187	Takifugu porphyreus	namera-fugu
99837	Spermophilus dauricus	Daurian ground squirrel
562814	Trachyrincus scabrus	roughsnout grenadier
8260	Platichthys flesus	European flounder
40205	Melozone fusca	canyon towhee
40205	Melozone fusca	brown towhee
172416	Ixoreus naevius	varied thrush
349651	Brama brama	Atlantic pomfret
1640653	Laemonema robustum	robust mora
9534	Chlorocebus aethiops	grivet
9534	Chlorocebus aethiops	savanah monkey
9534	Chlorocebus aethiops	African green monkeys
9534	Chlorocebus aethiops	African green monkey
2759916	Pachytriton labiatus	Unterstein's newt
2759916	Pachytriton labiatus	spotless stout newt
2759916	Pachytriton labiatus	paddletail newt
119419	Tauraco schalowi	Schalow's turaco
55521	Rapana venosa	veined rapa whelk
218824	Oligoryzomys flavescens	yellow pygmy rice rat
195332	Rhinoptera javanica	Javanese cownose ray
109284	Hippocampus histrix	thorny seahorse
179265	Plica plica	tree runner
586788	Centropyge heraldi	yellow angelfish
30360	Rana berlandieri	Rio Grande leopard frog
143345	Kareius bicoloratus	stone flounder
50897	Labidochromis caeruleus	blue streak hap
241745	Scissirostrum dubium	finch-billed myna
1633557	Anolis gadovii	Gadow's anole
8924	Vultur gryphus	Andean condor
305979	Salamandrina terdigitata	spectacled salamander
2059343	Paralichthys brasiliensis	Brazilian flounder
980614	Altrichthys azurelineatus	azure damsel
313158	Ctenopoma kingsleyae	tailspot ctenopoma
6551	Mytilus trossulus	bay mussel
6551	Mytilus trossulus	common blue mussel
307590	Cheilopogon pinnatibarbatus	Bennett's flyingfish
265638	Frederickena viridis	black-throated antshrike
32551	Neophascogale lorentzii	long-clawed marsupial mouse
458583	Macrourus holotrachys	bigeye grenadier
1154595	Careproctus gilberti	smalldisk snailfish
47982	Plexaura homomalla	black sea rod
505845	Acerodon jubatus	Golden-capped fruit bat
86930	Richardsonius balteatus	redside shiner
9636	Melursus ursinus	sloth bear
1156454	Callechelys catostoma	black-striped snake eel
72054	Oncorhynchus clarkii utah	Bonneville cutthroat trout
313161	Ctenopoma ocellatum	eyespot ctenopoma
334894	Scorpis aequipinnis	sea sweep
1431508	Apogon retrosella	barspot cardinalfish
61094	Crocidura mindorus	Mindoro shrew
152539	Ecsenius bicolor	bicolor blenny
152539	Ecsenius bicolor	flame tail blenny
156708	Notropis texanus	weed shiner
33560	Dasykaluta rosamondae	little red kaluta
191477	Pelobates fuscus	common spadefoot
191477	Pelobates fuscus	common spadefoot toad
191477	Pelobates fuscus	common Eurasian spadefoot toad
191477	Pelobates fuscus	garlic toad
72544	Capra sibirica	Siberian ibex
303126	Nezumia aequalis	common Atlantic grenadier
1311412	Aluterus heudelotii	dotterel filefish
1737450	Potamotrygon magdalenae	Magdalena River stingray
195082	Salaria fluviatilis	freshwater blenny
117000	Phoenicopterus chilensis	Chilean flamingo
461283	Leptobrachium hainanense	Hainan pseudomoustache toad
79653	Oceanites oceanicus	Wilson's storm-petrel
518689	Ursus ingressus	Gamssulzen cave bear
1156475	Stanulus seychellensis	Seychelles blenny
27591	Nanger granti	Grant's gazelle
1540925	Vireo magister	Yucatan Vireo
177147	Streptopelia decaocto	Eurasian collared-dove
48745	Mesoplodon bidens	Sowerby's beaked whale
59452	Eptesicus serotinus	Common serotine
293917	Hyporhamphus sajori	Japanese halfbeak
136300	Hime japonica	Japanese thread-sail fish
183910	Schizothorax richardsonii	snow trout
8733	Crotalus molossus	blacktail rattlesnake
114440	Cyanoramphus unicolor	Antipodes Island green parakeet
319444	Melamphaes lugubris	highsnout bigscale
319444	Melamphaes lugubris	highsnout melamphid
8524	Zootoca vivipara	common lizard
9587	Hylobates klossii	Kloss's gibbon
635148	Odontophrynus cultripes	Rio Grande escuerzo
72096	Sebastes rosaceus	rosy rockfish
325347	Todiramphus chloris	collared kingfisher
39110	Sphoeroides nephelus	southern puffer
1542449	Thymallus pallasii	East Siberian grayling
214988	Siderastrea radians	rough starlet coral
