,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Lingulata,-2334.8723391874646,-38139.0749541373,-4795.820116589719,Brachiopoda,Metazoa,Eukaryota,Lingulata,brachiopods,multicellular animals,eukaryotes,Lingulata
Litostomatea,21510.594192520115,27835.92012628775,20215.61447726657,Ciliophora,,Eukaryota,Litostomatea,ciliates,,eukaryotes,Litostomatea
Lycopodiopsida|club mosses,-27848.27242694225,17535.047404905552,-20271.60910391228,Streptophyta,Viridiplantae,Eukaryota,Lycopodiopsida,Streptophyta,green plants,eukaryotes,club mosses
Magnoliopsida|flowering plants,-30711.640880949464,12164.094832622915,-21620.34729652151,Streptophyta,Viridiplantae,Eukaryota,Magnoliopsida,Streptophyta,green plants,eukaryotes,angiosperms
Malacostraca,20971.626269038785,-33193.90861303932,-5702.195106911102,Arthropoda,Metazoa,Eukaryota,Malacostraca,arthropods,multicellular animals,eukaryotes,Malacostraca
Malasseziomycetes,25073.45580914341,6630.72939132278,-30702.643187361435,Basidiomycota,Fungi,Eukaryota,Malasseziomycetes,basidiomycetes,Fungi,eukaryotes,Malasseziomycetes
Mamiellophyceae,-38556.794732596325,3873.570425774724,-4882.244055163239,Chlorophyta,Viridiplantae,Eukaryota,Mamiellophyceae,green algae,green plants,eukaryotes,Mamiellophyceae
Mammalia|mammals,-508.81855230737983,-31627.098772193312,-23061.69051196628,Chordata,Metazoa,Eukaryota,Mammalia,chordates,multicellular animals,eukaryotes,mammals
Marchantiopsida,-26154.76119313084,20504.336204722906,-18670.740606773463,Streptophyta,Viridiplantae,Eukaryota,Marchantiopsida,Streptophyta,green plants,eukaryotes,Marchantiopsida
Mediophyceae-1,-1002.358052027642,12293.373522306769,34112.166866228144,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
Mediophyceae-2,-3718.624297993488,9732.632436889737,34850.497006865946,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
Mediophyceae-3,-1728.0676150797544,8110.594725571256,36042.442890932434,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
Mediophyceae-4,-739.6768930726575,9051.56684845108,35802.92695909251,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
Mediophyceae-5,-1837.1004302285417,10051.285998768308,35121.8297184313,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
Mediophyceae-6,-3292.3774743822614,11326.905739061123,34145.87397713073,Bacillariophyta,,Eukaryota,Mediophyceae,diatoms,,eukaryotes,Mediophyceae
Merostomata|horseshoe crabs,19806.67418691013,-36394.105354900414,-2771.6744970599866,Arthropoda,Metazoa,Eukaryota,Merostomata,arthropods,multicellular animals,eukaryotes,horseshoe crabs
Mesostigmatophyceae-1,-37256.00919907832,7721.774768867213,-2070.869256784503,Streptophyta,Viridiplantae,Eukaryota,Mesostigmatophyceae,Streptophyta,green plants,eukaryotes,Mesostigmatophyceae
Mesostigmatophyceae-2,-34691.40386557196,13414.330204196336,900.3939143696371,Streptophyta,Viridiplantae,Eukaryota,Mesostigmatophyceae,Streptophyta,green plants,eukaryotes,Mesostigmatophyceae
Microbotryomycetes,26325.162246161846,40.65205841764328,-33409.99790914246,Basidiomycota,Fungi,Eukaryota,Microbotryomycetes,basidiomycetes,Fungi,eukaryotes,Microbotryomycetes
Monoblepharidomycetes,42992.66001009529,-4333.910699845299,-9412.752282699665,Chytridiomycota,Fungi,Eukaryota,Monoblepharidomycetes,Chytridiomycota,Fungi,eukaryotes,Monoblepharidomycetes
Monogenea,10541.270582101632,-36767.69686665859,6795.20371332467,Platyhelminthes,Metazoa,Eukaryota,Monogenea,flatworms,multicellular animals,eukaryotes,Monogenea
