,x0,xup,y0,yup,z0,zup
branch_Aramidae,0.3103988250057875,0.22209563357940343,0.22018787795913244,0.15289639042628858,0.9247524732723702,0.5598448574216236
branch_Gruidae,0.2991877402647198,0.22209563357940343,0.20114441927475607,0.15289639042628858,0.6485686640398047,0.5598448574216236
branch_Aegothelidae,-0.15423717251736044,0.01318553226465043,0.7524388088268525,0.37448997899102787,-0.22423134830801594,-0.1330929897929928
branch_51,0.11771605481184647,0.01318553226465043,0.40089097837547194,0.37448997899102787,-0.16723042005130043,-0.1330929897929928
branch_Sagittariidae,0.9774542001408942,0.46048189744868473,0.12253882935417189,0.027130858853073026,-0.17194631827611664,-0.026236813160178812
branch_Accipitridae,0.58698846115369,0.46048189744868473,-0.0036079125610425132,0.027130858853073026,0.03491700347441675,-0.026236813160178812
branch_Coliidae,0.7086307919050125,0.320311668090927,-0.2354948560133735,-0.11299022481872703,0.20074390657010427,0.2025289646308806
branch_52,0.2685058947637878,0.320311668090927,-0.10282577877332098,-0.11299022481872703,0.30833592775850827,0.2025289646308806
branch_Strigidae,0.5359156161046965,0.46712792610320336,-0.018329706941228804,-0.05070191291380564,0.19341089327039135,0.14729686025348027
branch_Tytonidae,0.6497677449324322,0.46712792610320336,-0.118285694797588,-0.05070191291380564,0.175607530787829,0.14729686025348027
branch_Passeriformes,0.015528409592113802,0.3493695471352917,-0.37403835983213024,-0.20974193525925183,0.31652777772404134,0.0449343128151482
branch_53,0.6186957449793394,0.3493695471352917,0.13136210156889022,-0.20974193525925183,-0.3540337222258,0.0449343128151482
branch_Ciconiidae,0.40552739516310843,0.2993004949579333,0.5682619323530992,0.2992527681049243,-0.11159198913942442,-0.014227414348172315
branch_54,0.35595686592725806,0.2993004949579333,0.25347429127397714,0.2992527681049243,0.04115978275992589,-0.014227414348172315
branch_Procellariiformes,0.33088811691754694,0.2794482910174311,0.34685377933835826,0.33099917184351224,-0.10614968037400985,-0.055131643978979364
branch_Spheniscidae,0.4516277928500998,0.2794482910174311,0.603873850153914,0.33099917184351224,-0.02659851174730884,-0.055131643978979364
branch_55,0.2400567757649371,0.2118241364668638,0.4023899291829196,0.3919372892510868,0.40722091107897856,0.3513948311429877
branch_56,0.2551241372281088,0.2118241364668638,0.36823546775198124,0.3919372892510868,0.3498689079756456,0.3513948311429877
branch_Stercorariidae,0.2807460700847448,0.2118241364668638,0.7659275506628561,0.3919372892510868,0.5783893704863023,0.3513948311429877
branch_57,0.438873255454106,0.44128067473590826,0.35041764796778113,0.3419375509784246,0.34226585298717593,0.2855925087204524
branch_58,0.5230852690663689,0.44128067473590826,0.39414606445541733,0.3419375509784246,0.27560820386700446,0.2855925087204524
branch_Haematopodidae,0.5539015150549687,0.2889189229274198,0.8138919877174201,0.5056631689240751,0.17541906765749293,0.10294369156772637
branch_Recurvirostridae,0.42023283333963135,0.2889189229274198,0.8910287442857889,0.5056631689240751,0.17167133711965898,0.10294369156772637
branch_Trochilidae,0.06859274589878425,0.11771605481184647,0.5996805434029585,0.40089097837547194,-0.3278441483319885,-0.16723042005130043
branch_Apodidae,0.2536384287812059,0.11771605481184647,0.5368113480580032,0.40089097837547194,-0.1545395478468622,-0.16723042005130043
branch_59,0.30271323997740707,0.2685058947637878,-0.054549380894621954,-0.10282577877332098,0.2966184321567859,0.30833592775850827
branch_Trogonidae,0.3867115458821386,0.2685058947637878,-0.24456617984612003,-0.10282577877332098,0.5242379820516148,0.30833592775850827
branch_Acanthisittidae,0.021102019564547353,0.015528409592113802,-0.8115705114378197,-0.37403835983213024,0.5838729520822773,0.31652777772404134
branch_60,0.1066067469076265,0.015528409592113802,-0.48337620610362625,-0.37403835983213024,0.0705860425670883,0.31652777772404134
branch_Cisticolidae,0.11906171265478585,0.015528409592113802,-0.7963387054274281,-0.37403835983213024,0.5930165168494812,0.31652777772404134
