x,y,z,order,family,order_eng,family_eng
-0.09522258844083545,-0.6897201453526776,-0.7091933876785057,Dinornithiformes,Emeidae,moas,Emeidae
-0.10143788055521459,-0.6922184832913676,-0.7162635320912406,Passeriformes,Estrildidae,song birds,Estrildidae
-0.09164811089107873,-0.6977399006507394,-0.7133397399730742,Passeriformes,Eurylaimidae,song birds,Eurylaimidae
-0.09053466421684331,-0.6859265304822114,-0.7199247200490759,Gruiformes,Eurypygidae,terrestrial and marshbirds,sunbitterns
-0.08681122772269745,-0.6925681064831356,-0.7174327972325468,Falconiformes,Falconidae,falcons and others,Falconidae
-0.09729947515079125,-0.6932024947331998,-0.7099049491747808,Passeriformes,Formicariidae,song birds,Formicariidae
-0.08767015664499056,-0.6876122357704358,-0.7165749806242283,Pelecaniformes,Fregatidae,"Ibis, herons and pelicans",frigatebirds
-0.1001229945581749,-0.691547360859489,-0.7206179843470721,Passeriformes,Fringillidae,song birds,Fringillidae
-0.08922026681770395,-0.6969268392300287,-0.7153169736194873,Passeriformes,Furnariidae,song birds,Furnariidae
-0.08751414891520116,-0.6908545746989815,-0.7128694177323229,Galbuliformes,Galbulidae,jacamars,Galbulidae
-0.08780524719893469,-0.6885049130282941,-0.713558378538763,Gaviiformes,Gaviidae,loons,loons
-0.09075945435931751,-0.6857548035721562,-0.712797256502318,Charadriiformes,Glareolidae,shorebirds and others,Glareolidae
-0.09106559373326732,-0.6893749564641779,-0.7098448924060006,Gruiformes,Gruidae,terrestrial and marshbirds,cranes
-0.08994657851880815,-0.6853443244573021,-0.715032413148972,Charadriiformes,Haematopodidae,shorebirds and others,oystercatchers
-0.09023658141829241,-0.6893366886682354,-0.7103088299408901,Gruiformes,Heliornithidae,terrestrial and marshbirds,sungrebes
-0.09626443690573039,-0.6984239679214538,-0.7154598579489934,Passeriformes,Hirundinidae,song birds,swallows
-0.0893467627353247,-0.6861810322918496,-0.7187465941680308,Procellariiformes,Hydrobatidae,petrels and albatrosses,storm petrels
-0.10017096903632454,-0.6876416880864205,-0.7182721280913499,Passeriformes,Icteridae,song birds,"New World blackbirds, orioles and allies"
-0.08785601762635945,-0.6921278401710436,-0.7123218600354084,Piciformes,Indicatoridae,woodpeckers and others,Indicatoridae
-0.09941374334362814,-0.6933362525415938,-0.7210963886224233,Passeriformes,Irenidae,song birds,Irenidae
-0.08901546850733108,-0.6876064580862156,-0.7124112665053539,Charadriiformes,Jacanidae,shorebirds and others,jacanas
-0.09542506082654871,-0.6898792796481698,-0.7234760764380012,Passeriformes,Laniidae,song birds,shrikes
-0.09035692768346223,-0.6866193920140689,-0.7120118276552753,Charadriiformes,Laridae,shorebirds and others,gulls
-0.09920391569504672,-0.69421099680171,-0.7117852303074064,Passeriformes,Leiothrichidae,song birds,Leiothrichidae
-0.10047646253121051,-0.6946871860957868,-0.7145822222808753,Passeriformes,Locustellidae,song birds,Locustellidae
