,x0,xup,y0,yup,z0,zup
branch_56,-0.09216510710327264,-0.09248662472062515,-0.6886534830035266,-0.68847748870696,-0.713737062923937,-0.7137257324118723
branch_Stercorariidae,-0.0919748553097575,-0.09248662472062515,-0.6857004804933764,-0.68847748870696,-0.712040218736154,-0.7137257324118723
branch_57,-0.09080070577200236,-0.09078282984364563,-0.6887857865338434,-0.6888487542135432,-0.7137935182606926,-0.7142143376208702
branch_58,-0.09017540218093854,-0.09078282984364563,-0.6884610877802053,-0.6888487542135432,-0.7142884745689294,-0.7142143376208702
branch_Haematopodidae,-0.08994658079960337,-0.09191416902507504,-0.6853443278086577,-0.6876330343600561,-0.7150324138712936,-0.7155705688326663
branch_Recurvirostridae,-0.09093911741170965,-0.09191416902507504,-0.6847715604704095,-0.6876330343600561,-0.715060242078495,-0.7155705688326663
branch_Trochilidae,-0.09355016778334843,-0.09318541007063418,-0.6869349225424867,-0.688411004440374,-0.7187693188888779,-0.7175767059022026
branch_Apodidae,-0.09217613900700312,-0.09318541007063418,-0.6874017482592721,-0.688411004440374,-0.7174824717469702,-0.7175767059022026
branch_59,-0.09181174140676228,-0.09206574288333687,-0.6917928080566398,-0.692151277159352,-0.7141324662913081,-0.7140454597970594
branch_Trogonidae,-0.09118802467001087,-0.09206574288333687,-0.6932037491047175,-0.692151277159352,-0.7124423116941161,-0.7140454597970594
branch_Acanthisittidae,-0.09390280300064366,-0.0939441889998788,-0.6974139541512976,-0.6941651252269044,-0.7119995012290339,-0.7139846324521096
branch_60,-0.09326790055897145,-0.0939441889998788,-0.6949769968943786,-0.6941651252269044,-0.7158108356693156,-0.7139846324521096
branch_Cisticolidae,-0.0931754180915157,-0.0939441889998788,-0.6973008526757701,-0.6941651252269044,-0.7119316070695333,-0.7139846324521096
branch_Conopophagidae,-0.09366832148691581,-0.0939441889998788,-0.6978804350471289,-0.6941651252269044,-0.7127533502365824,-0.7139846324521096
branch_Formicariidae,-0.09729947450279557,-0.0939441889998788,-0.6932024943702533,-0.6941651252269044,-0.7099049504607817,-0.7139846324521096
branch_Motacillidae,-0.09204578207852865,-0.0939441889998788,-0.6974094477170362,-0.6941651252269044,-0.7124852823557418,-0.7139846324521096
branch_Pachycephalidae,-0.09312120790312443,-0.0939441889998788,-0.6962199240523986,-0.6941651252269044,-0.7107756813994307,-0.7139846324521096
branch_Petroicidae,-0.09488481556354703,-0.0939441889998788,-0.695509916251765,-0.6941651252269044,-0.7102143035616002,-0.7139846324521096
branch_Cacatuidae,-0.08849811982595121,-0.08946546102922862,-0.6908498187593362,-0.6904123504162408,-0.7188777706969219,-0.7189637856152007
branch_61,-0.08972112952861822,-0.08946546102922862,-0.6898804240773838,-0.6904123504162408,-0.7194006840196131,-0.7189637856152007
branch_Pelecaniformes,-0.09148519549245626,-0.09141638890205912,-0.6894475130091052,-0.6895056247905264,-0.7158260268764411,-0.7160293359181484
branch_Suliformes,-0.09131492188835282,-0.09141638890205912,-0.6895407130546992,-0.6895056247905264,-0.7162293294135431,-0.7160293359181484
branch_Diomedeidae,-0.0892648174488625,-0.09160253311244966,-0.6858443782084759,-0.688812249502207,-0.7175256538629521,-0.7171231600929205
branch_62,-0.09150551320215394,-0.09160253311244966,-0.688966381497139,-0.688812249502207,-0.7173260983283132,-0.7171231600929205
branch_Alcidae,-0.09207101989189763,-0.09227698752064586,-0.6866166508607786,-0.6883998742074948,-0.7110040910670006,-0.7133112042850457
branch_Laridae,-0.091484881551515,-0.09227698752064586,-0.68807203327909,-0.6883998742074948,-0.7133288323535676,-0.7133112042850457
branch_Dromadidae,-0.0907994481310615,-0.09216510710327264,-0.6875521669175156,-0.6886534830035266,-0.710876383604613,-0.713737062923937
branch_Glareolidae,-0.09075945642933918,-0.09216510710327264,-0.6857548071055518,-0.6886534830035266,-0.7127972587214213,-0.713737062923937
branch_Jacanidae,-0.0890154690117329,-0.09080070577200236,-0.6876064584643453,-0.6887857865338434,-0.7124112668977229,-0.7137935182606926
branch_Rostratulidae,-0.0891974117789862,-0.09080070577200236,-0.6872595476500664,-0.6887857865338434,-0.7125331425001512,-0.7137935182606926
branch_Pedionomidae,-0.08860458983342373,-0.09017540218093854,-0.6871199841600782,-0.6884610877802053,-0.7136580416146298,-0.7142884745689294
