,x,y,z,name,order,class,name_eng,order_eng,class_eng
Lorisidae,-550.5296971667407,-31592.58285331528,-23040.91423069631,Lorisidae,Primates,Mammalia,lorises,Primates,mammals
Galagidae,-555.1811423772315,-31595.704310304864,-23039.15408163172,Galagidae,Primates,Mammalia,galagos,Primates,mammals
Cebidae,-566.3366762530944,-31629.45367180675,-23028.464677603588,Cebidae,Primates,Mammalia,capuchin and squirrel monkeys,Primates,mammals
Aotidae,-566.8036621707353,-31624.44896974817,-23030.1265696951,Aotidae,Primates,Mammalia,owl monkeys,Primates,mammals
Pitheciidae,-567.3201879601037,-31627.211410017226,-23030.323030956988,Pitheciidae,Primates,Mammalia,Pitheciidae,Primates,mammals
Atelidae,-565.2614728638498,-31627.38363542129,-23027.14618716332,Atelidae,Primates,Mammalia,Atelidae,Primates,mammals
Cercopithecidae,-562.3484469740602,-31617.580587697736,-23026.0659677565,Cercopithecidae,Primates,Mammalia,Old World monkeys,Primates,mammals
Hylobatidae,-559.79322889223,-31619.377979383844,-23022.176811253205,Hylobatidae,Primates,Mammalia,lesser apes,Primates,mammals
Hominidae,-559.943326720903,-31621.695498361656,-23021.543548762933,Hominidae,Primates,Mammalia,great apes,Primates,mammals
Tarsiidae,-566.7171162152374,-31606.553068656,-23039.96619903889,Tarsiidae,Primates,Mammalia,tarsiers,Primates,mammals
Cynocephalidae,-516.0923455874229,-31591.714595031623,-23058.261205219864,Cynocephalidae,Dermoptera,Mammalia,colugos,flying lemurs,mammals
Ochotonidae,-553.663580280316,-31591.442402859266,-23065.750778538026,Ochotonidae,Lagomorpha,Mammalia,pikas,Rabbits and pikas,mammals
Leporidae,-540.6573544700648,-31589.14854386534,-23067.502623527813,Leporidae,Lagomorpha,Mammalia,rabbits and hares,Rabbits and pikas,mammals
Hystricidae,-537.0159284092205,-31619.000469772167,-23105.54010878788,Hystricidae,Rodentia,Mammalia,Old World porcupines,rodent,mammals
Caviidae,-534.4003321047487,-31609.740239535768,-23098.55383330898,Caviidae,Rodentia,Mammalia,cavies,rodent,mammals
Hydrochaeridae,-551.014854499891,-31624.252014955156,-23101.46494151147,Hydrochaeridae,Rodentia,Mammalia,Capybara,rodent,mammals
Chinchillidae,-547.291394460419,-31605.02469002178,-23089.27577813517,Chinchillidae,Rodentia,Mammalia,chinchillas,rodent,mammals
Myocastoridae,-534.2353233531715,-31615.009222601035,-23101.83697735861,Myocastoridae,Rodentia,Mammalia,Myocastoridae,rodent,mammals
Octodontidae,-554.3663314310094,-31621.507213327408,-23097.467520399598,Octodontidae,Rodentia,Mammalia,Octodontidae,rodent,mammals
Echimyidae,-552.3686755146841,-31607.516266650386,-23088.000670273213,Echimyidae,Rodentia,Mammalia,American spiny rats,rodent,mammals
Ctenodactylidae,-542.7308953890208,-31616.71001957072,-23094.58083766302,Ctenodactylidae,Rodentia,Mammalia,gundis,rodent,mammals
Bathyergidae,-550.4141861713366,-31608.577751734025,-23095.27918522617,Bathyergidae,Rodentia,Mammalia,African mole-rats,rodent,mammals
Capromyidae,-555.343588770059,-31611.75550248371,-23090.29715474984,Capromyidae,Rodentia,Mammalia,hutias,rodent,mammals
Ctenomyidae,-541.5057143267709,-31604.98287879197,-23090.630402942497,Ctenomyidae,Rodentia,Mammalia,tuco-tucos,rodent,mammals
Dasyproctidae,-536.3495178311332,-31606.95865714004,-23093.713465991343,Dasyproctidae,Rodentia,Mammalia,agoutis and pacas,rodent,mammals
Erethizontidae,-545.053893364361,-31618.47248262644,-23105.332561899533,Erethizontidae,Rodentia,Mammalia,New World porcupines,rodent,mammals
Thryonomyidae,-550.600271167495,-31614.99333505033,-23100.48552592244,Thryonomyidae,Rodentia,Mammalia,cane rats,rodent,mammals
Petromuridae,-546.0406836586313,-31625.41672162493,-23104.455196189643,Petromuridae,Rodentia,Mammalia,dassie rat,rodent,mammals
Abrocomidae,-555.6602486148898,-31616.44184307134,-23094.02416426484,Abrocomidae,Rodentia,Mammalia,Chinchilla rat,rodent,mammals
Dinomyidae,-540.2839500826487,-31623.777267829584,-23105.74987836911,Dinomyidae,Rodentia,Mammalia,pacarana,rodent,mammals
Laonastidae,-542.8753687319386,-31606.6005249816,-23097.61380692082,Laonastidae,Rodentia,Mammalia,Laotian rock rat,rodent,mammals
Cuniculidae,-540.6444594634333,-31611.82640235972,-23103.30316379813,Cuniculidae,Rodentia,Mammalia,paca,rodent,mammals
Gliridae,-561.7286452156862,-31656.843965516477,-23085.388965789643,Gliridae,Rodentia,Mammalia,dormice,rodent,mammals
Aplodontiidae,-563.4525441133015,-31649.06543228412,-23090.82177269212,Aplodontiidae,Rodentia,Mammalia,Mountain beaver,rodent,mammals
Sciuridae,-557.0604942269732,-31658.71180132281,-23090.986744897727,Sciuridae,Rodentia,Mammalia,squirrels,rodent,mammals
Geomyidae,-565.5772805400595,-31655.42583336164,-23076.95850519984,Geomyidae,Rodentia,Mammalia,pocket gophers,rodent,mammals
Heteromyidae,-550.1621129396841,-31657.926099021814,-23098.659969139622,Heteromyidae,Rodentia,Mammalia,Heteromyidae,rodent,mammals
Castoridae,-556.1915368369456,-31649.54043746785,-23100.44710641947,Castoridae,Rodentia,Mammalia,beavers,rodent,mammals
Muridae,-571.4013969514228,-31624.276431637707,-23072.512308014,Muridae,Rodentia,Mammalia,Muridae,rodent,mammals
Spalacidae,-571.4377091821254,-31631.320930135644,-23077.065658477968,Spalacidae,Rodentia,Mammalia,Spalacidae,rodent,mammals
Calomyscidae,-570.1089671115571,-31618.72172351903,-23070.56855753836,Calomyscidae,Rodentia,Mammalia,Mouse-like hamsters,rodent,mammals
Nesomyidae,-571.5194769029972,-31629.86112977057,-23068.371982287677,Nesomyidae,Rodentia,Mammalia,Nesomyidae,rodent,mammals
Cricetidae,-570.3177467637129,-31638.44523159982,-23078.21362137824,Cricetidae,Rodentia,Mammalia,Cricetidae,rodent,mammals
Platacanthomyidae,-571.317877625409,-31637.05616080877,-23069.04303871163,Platacanthomyidae,Rodentia,Mammalia,Oriental dormice,rodent,mammals
Dipodidae,-570.0151582033897,-31644.275366297697,-23071.225060786182,Dipodidae,Rodentia,Mammalia,jerboas,rodent,mammals
Pedetidae,-545.1175542033405,-31651.19429638004,-23106.18112120993,Pedetidae,Rodentia,Mammalia,springhares,rodent,mammals
Anomaluridae,-541.77734595521,-31647.20309271198,-23109.36766147373,Anomaluridae,Rodentia,Mammalia,scaly-tailed squirrels,rodent,mammals
